,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,Price,Street,District,State
402,Hyundai,i10,Era,2012,58000,Petrol,Manual,1st,280000.0,Naranpura, Ahmedabad, Gujarat
403,Maruti Suzuki,Celerio,ZXI Optional MT,2016,89000,Petrol,Manual,1st,430000.0,Bowenpally, Hyderabad, Telangana
404,Skoda,Laura,1.8 TSI Ambition,2010,84000,Petrol,Manual,3rd,351000.0,Gungutoli, Ranchi, Jharkhand
405,Hyundai,i20,Petrol Spotz,2017,16000,Petrol,Manual,1st,638000.0,Borivali West, Mumbai, Maharashtra
406,Chevrolet,Spark,1.0 LS,2010,72000,Petrol,Manual,1st,105000.0,Tilak Nagar, Delhi, Delhi
407,Maruti Suzuki,Ritz,VDi,2011,74002,Petrol,Manual,2nd,180000.0,Lachchhiram Pur, Azamgarh, Uttar Pradesh
408,Maruti Suzuki,Alto,LX,2007,66000,Petrol,Manual,1st,125000.0,Off SG Highway, Ahmedabad, Gujarat
409,,,,0,0,Unknown,Unknown,,,,,
410,Maruti Suzuki,Swift Dzire,VXI,2010,95000,Petrol,Manual,2nd,300000.0,Someshwarapura Extension, Tumakuru, Karnataka
411,Tata,Indigo CS,CS LS TDI,2007,92000,Diesel,Manual,2nd,135000.0,Anna Nagar, Chennai, Tamil Nadu
412,Fiat,Punto,Punto Emotion Pack 1.4,2011,92000,Diesel,Manual,1st,250000.0,Ayanavaram, Chennai, Tamil Nadu
413,Hyundai,Elite i20,Magna 1.2,2015,54000,Petrol,Manual,1st,470000.0,Rohini Sector 10, Delhi, Delhi
414,Maruti Suzuki,Swift,VDI BS IV,2015,78000,Diesel,Manual,1st,490000.0,Chauk, Lucknow, Uttar Pradesh
415,Hyundai,Elite i20,Sportz (O) 1.4,2015,79000,Diesel,Manual,2nd,580000.0,Thiruvannur, Kozhikode, Kerala
416,Maruti Suzuki,Swift,ZDi,2013,79000,Diesel,Manual,1st,490000.0,MG Road, Bengaluru, Karnataka
417,Hyundai,Elite i20,Asta 1.2 (O),2016,51000,Petrol,Manual,1st,499999.0,Rajarhat, Kolkata, West Bengal
418,,,,0,0,Unknown,Unknown,,250.0,Samudrapur, Maharashtra, India
419,Maruti Suzuki,Alto,2005-2010 LXi BSIII,2009,70000,Petrol,Manual,1st,165000.0,Sunder Nagar, Ahmedabad, Gujarat
420,Maruti Suzuki,Swift,2011-2014 ZDi,2012,105900,Diesel,Manual,2nd,410000.0,Nayudupeta, Andhra Pradesh, India
421,Honda,City,i-VTEC VX,2015,55154,Petrol,Manual,1st,579000.0,Connaught Place, Delhi, Delhi
422,Honda,Civic,1.8 V MT,2009,80000,Petrol,Manual,2nd,265000.0,Attapur, Hyderabad, Telangana
423,Toyota,Corolla Altis,Others,2013,88000,Diesel,Manual,2nd,480000.0,Chandigarh Airport Area, Chandigarh, Chandigarh
424,Toyota,Innova,2.5 V 7 STR,2011,170000,Diesel,Manual,2nd,590000.0,Industrial Area, Chandigarh, Chandigarh
425,Volkswagen,Ameo,1.2 MPI Comfortline Plus,2018,45000,Petrol,Manual,1st,480000.0,Pitampura, Delhi, Delhi
426,Bentley,Continental Flying Spur,Flying Spur W12,2008,34000,Petrol,Automatic,4th,7500000.0,Bandra West, Mumbai, Maharashtra
427,Maruti Suzuki,Ciaz,2014-2017 ZDi SHVS,2015,69000,Diesel,Manual,1st,560000.0,Kotwali Ganj, Rampur, Uttar Pradesh
428,Audi,A6,2.0 TDI Premium Plus,2013,8,Petrol,Automatic,4+,15000.0,Vyttila, Kochi, Kerala
429,Hyundai,i20,2010-2012 1.4 CRDi Magna,2012,81975,Diesel,Manual,1st,328000.0,Sector 60 Phase 3B2, Mohali, Punjab
430,,,,0,0,Unknown,Unknown,,,,,
431,Mercedes-Benz,E-Class,Elegance 220 CDI,2012,95000,Diesel,Automatic,1st,1275000.0,Santacruz East, Mumbai, Maharashtra
432,Toyota,Etios,2012,0,0,Manual,Unknown,,420000.0,Rangampalaiyam, Erode, Tamil Nadu
433,,,,0,0,Unknown,Unknown,,,,,
434,Maruti Suzuki,Vitara Brezza,ZDi Plus Dual Tone,2016,47000,Diesel,Manual,1st,815000.0,Vidya Nagar Colony, Tirupati, Andhra Pradesh
435,Tata,Aria,Pleasure 4X4,2011,44220,Diesel,Manual,1st,345000.0,Andheri East, Mumbai, Maharashtra
436,Mahindra,Scorpio,2006-2009 2.6 Turbo 7 Str,2006,69685,Diesel,Manual,,169000.0,New Pratap Nagar, Ambala, Haryana
437,Hyundai,Elite i20,Sportz 1.2,2016,57080,Petrol,Manual,,610000.0,Jayanagar, Bengaluru, Karnataka
438,Tata,Indigo Ecs,eCS LS CR4 BS-IV,2018,100000,Diesel,Manual,1st,250000.0,Mira Road East, Mumbai, Maharashtra
439,,,,0,0,Unknown,Unknown,,499.0,Samudrapur MIDC, Maharashtra, India
440,Chevrolet,Sail,2014,0,0,Manual,Unknown,,300000.0,Mohit Vihar, Dehradun, Uttaranchal
441,Tata,Safari Storme,VX,2014,120500,Diesel,Manual,1st,695000.0,Kunchanapalle, Vijayawada, Andhra Pradesh
442,Renault,Duster,2012-2015 85PS Diesel RxL,2013,160000,Diesel,Manual,1st,399000.0,Rajbandh Maidan, Raipur, Chhattisgarh
443,Toyota,Innova,2.5 G (Diesel) 7 Seater,2015,151000,Diesel,Manual,2nd,640000.0,Infantry Road, Bengaluru, Karnataka
444,Ford,Figo,2012-2015 Diesel ZXI,2015,110000,Diesel,Manual,2nd,340000.0,Ram Krishna Nagar, Vijayawada, Andhra Pradesh
445,Hyundai,i10,Magna 1.1L,2016,13314,Petrol,Manual,1st,495000.0,Rajaji Nagar, Bengaluru, Karnataka
446,Hyundai,i20,2012-2014 Sportz 1.2,2012,60527,Petrol,Manual,1st,420000.0,Housing Board Colony, Hyderabad, Telangana
447,Chevrolet,Others,Others,2016,110974,Diesel,Automatic,2nd,550000.0,Manthaiyamman Kovil, Kambam, Tamil Nadu
448,Toyota,Innova,2004-2011 2.5 G4 Diesel 8-seater,2010,0,Diesel,Unknown,,850000.0,Puliakulam, Coimbatore, Tamil Nadu
449,Maruti Suzuki,Swift Dzire,VXI,2017,55000,Petrol,Manual,1st,515000.0,Anamika Enclave, Gurgaon, Haryana
450,Maruti Suzuki,Alto 800,LXI,2013,81000,Petrol,Manual,1st,249000.0,Alagu Nagar, Namakkal, Tamil Nadu
451,Volkswagen,Jetta,2.0 TDI Comfortline,2012,82000,Diesel,Manual,1st,399000.0,Sector 16, Faridabad, Haryana
452,Ford,Figo,2010-2012 Petrol ZXI,2010,72000,Petrol,Manual,3rd,180000.0,Kuchha Kathara, Shahjahanpur, Uttar Pradesh
453,Mercedes-Benz,GLE Class,250d,2016,74000,Diesel,Automatic,1st,4200000.0,Marine Drive, Kochi, Kerala
454,Maruti Suzuki,Wagon R,1999-2006 VXI BSIII,2006,0,Unknown,Unknown,,150000.0,Palarivattom, Kochi, Kerala
455,Maruti Suzuki,Ritz,LXi,2016,80000,CNG & Hybrids,Manual,2nd,270000.0,IMT Rohtak, Rohtak, Haryana
456,Ford,Ecosport,1.5 Diesel Trend,2015,65000,Diesel,Manual,1st,499999.0,Ward Number 42, Churu, Rajasthan
457,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2009,70000,Petrol,Manual,2nd,195000.0,Sunder Nagar, Ahmedabad, Gujarat
458,Mercedes-Benz,E-Class,E250 CDI Avantgarde,2015,70000,Diesel,Automatic,1st,2050000.0,Andheri West, Mumbai, Maharashtra
459,Maruti Suzuki,Wagon R 1.0,1.0 LXi,2012,51000,Petrol,Manual,1st,240000.0,Karkar Duma, Delhi, Delhi
460,Mahindra,XUV500,W8 2WD,2016,58000,Diesel,Manual,1st,1230000.0,Banashankari Stage 3, Bengaluru, Karnataka
461,Maruti Suzuki,Estilo,VXi BS-IV,2010,42111,Petrol,Manual,1st,175000.0,Madurdaha, Kolkata, West Bengal
462,Maruti Suzuki,Vitara Brezza,2017,0,0,Unknown,Unknown,,666666.0,Vyttila, Kochi, Kerala
463,Nissan,Sunny,XE,2016,80000,Diesel,Manual,1st,480000.0,Alwarpet, Chennai, Tamil Nadu
464,Volkswagen,Polo,2009-2013 Diesel Highline 1.2L,2011,85000,Diesel,Manual,2nd,285000.0,Umarwada, Surat, Gujarat
465,Maruti Suzuki,Swift,VDI,2012,41000,Diesel,Manual,1st,335000.0,Jadavpur, Kolkata, West Bengal
466,Chevrolet,Optra,1.8 MAX,2011,94250,Diesel,Manual,1st,245000.0,Sarthana Jakatnaka, Surat, Gujarat
467,Maruti Suzuki,Zen,LXI,2006,81110,Petrol,Manual,1st,215000.0,Jaganathapuram, Erode, Tamil Nadu
468,Audi,A4,2008-2014 2.0 TDI Celebration Edition,2013,45000,Diesel,Automatic,2nd,1595000.0,Nagawara, Bengaluru, Karnataka
469,Hyundai,i20,2012-2014 Magna,2013,53232,CNG & Hybrids,Manual,1st,345000.0,Pitampura, Delhi, Delhi
470,Maruti Suzuki,Wagon R,LXI,2007,162000,Petrol,Manual,1st,155000.0,Adabari, Guwahati, Assam
471,Maruti Suzuki,Vitara Brezza,ZDi Plus,2019,45000,Diesel,Manual,1st,985000.0,LB Nagar, Hyderabad, Telangana
472,Maruti Suzuki,Vitara Brezza,ZDi Plus,2018,61000,Diesel,Manual,1st,825000.0,Raj Nagar Extension, Ghaziabad, Uttar Pradesh
473,Mahindra,XUV500,W6 2WD,2012,52000,Diesel,Manual,1st,439000.0,Vaishali, Ghaziabad, Uttar Pradesh
474,Hyundai,i10,Sportz 1.2 Automatic Kappa2,2011,69000,Petrol,Automatic,2nd,350000.0,Neduvathoor, Kottarakkara, Kerala
475,Tata,Indigo CS,2008-2012 eLX BS IV,2011,73000,Diesel,Manual,1st,165000.0,Kunchanapalle, Vijayawada, Andhra Pradesh
476,Hyundai,Accent,CRDi,2005,98000,Diesel,Manual,3rd,120000.0,Attapur, Hyderabad, Telangana
477,Maruti Suzuki,Wagon R 1.0,1.0 LXi,2009,82698,Petrol,Manual,,130000.0,Model Town, Ambala, Haryana
478,,,,0,0,Unknown,Unknown,,499.0,Samudrapur, Maharashtra, India
479,Maruti Suzuki,Wagon R Electric,Others,2006,60000,LPG,Automatic,2nd,65000.0,Baikuntha, Bahraich, Uttar Pradesh
480,BMW,3 Series,Others,2011,96000,Diesel,Automatic,1st,800000.0,Chandigarh Airport Area, Chandigarh, Chandigarh
481,Mercedes-Benz,GLE COUPE,43 AMG Coupe,2020,5000,Petrol,Automatic,1st,9200000.0,Puthiyakavu, Karunagappally, Kerala
482,Maruti Suzuki,Alto,2005-2010 LX BSIII,2008,55000,Petrol,Manual,2nd,130000.0,Attapur, Hyderabad, Telangana
483,Maruti Suzuki,Omni,8 Seater BSII,2013,98300,Petrol,Manual,1st,250000.0,Thillai Nagar, Tiruchirappalli, Tamil Nadu
484,Hyundai,i10,1.2 Kappa SPORTZ,2009,81000,Petrol,Manual,2nd,220000.0,Kannanakuzhi, Kattanam, Kerala
485,Toyota,Fortuner,3.0 4x4 Manual,2013,125000,Diesel,Manual,2nd,1400000.0,Sivarampalli, Hyderabad, Telangana
486,Maruti Suzuki,Swift Dzire,2013,0,0,Unknown,Unknown,,357000.0,Mansarovar Garden, Delhi, Delhi
487,Honda,Accord,Accord 2.4 VTi-L Automatic,2010,57000,Petrol,Automatic,2nd,380001.0,Bhola Nath Nagar, Delhi, Delhi
488,Ford,Ecosport,1.5 TDCi Titanium Plus,2013,96000,Diesel,Manual,1st,525000.0,Padivattom, Kochi, Kerala
489,Maruti Suzuki,Wagon R,LXI BS IV,2018,21000,Petrol,Manual,1st,385000.0,Vaishali, Ghaziabad, Uttar Pradesh
490,Toyota,Corolla Altis,Altis 1.8 J,2018,21,Petrol,Manual,1st,1021700.0,Chembur, Mumbai, Maharashtra
491,Toyota,Innova,2004-2011 2.0 V,2011,80000,Diesel,Manual,1st,900000.0,Aranattukara, Thrissur, Kerala
