,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,Price,Street,District,State
211,Hyundai,Verna,2006-2010 CRDi,2007,48247,Diesel,Manual,1st,155000.0,Madurdaha, Kolkata, West Bengal
212,Mahindra,XUV500,W8 2WD,2012,92000,Diesel,Manual,2nd,550000.0,Chandigarh Airport Area, Chandigarh, Chandigarh
213,Mahindra,Others,2020,0,0,Unknown,Unknown,,50000.0,Vyttila, Kochi, Kerala
214,Hyundai,Grand i10,2013-2016 Magna,2015,37077,Petrol,Manual,2nd,345050.0,Sector 46, Gurgaon, Haryana
215,Volkswagen,Polo,2009-2013 Petrol Comfortline 1.2L,2013,16779,Petrol,Manual,1st,296000.0,CBD Belapur, Navi Mumbai, Maharashtra
216,Maruti Suzuki,Wagon R Duo,Others,2008,108000,LPG,Manual,1st,210000.0,Bavdhan, Pune, Maharashtra
217,Mahindra,Marazzo,M8,2018,0,Diesel,Unknown,,1160000.0,Sion West, Mumbai, Maharashtra
218,Toyota,Innova Crysta,2.8 GX AT,2018,42000,Diesel,Automatic,1st,1650000.0,Swarajnagar, Ahmedabad, Gujarat
219,Mahindra,Scorpio,S11,2018,25000,Diesel,Manual,2nd,1565000.0,Ashok Nagar, Sri Ganganagar, Rajasthan
220,Mahindra,Scorpio,2002-2013 VLX,2008,160000,Diesel,Manual,2nd,650000.0,Parappalayam, Tiruppur, Tamil Nadu
221,Mercedes-Benz,S-Class,S 350 L,2008,78000,Petrol,Automatic,2nd,700000.0,Baba Nagar, Delhi, Delhi
222,Skoda,Rapid,2013-2016 1.5 TDI Elegance,2015,780000,Diesel,Manual,1st,575000.0,Panampilly Nagar, Kochi, Kerala
223,Honda,City,2011-2013 S,2012,82000,Petrol,Manual,1st,380000.0,Mulund West, Mumbai, Maharashtra
224,BMW,7 Series,760i Sedan,2012,0,Unknown,Unknown,,15000.0,Vyttila, Kochi, Kerala
225,,,,0,0,Unknown,Unknown,,599.0,Samudrapur, Maharashtra, India
226,Maruti Suzuki,Alto 800,LXI Opt,2016,46000,Petrol,Manual,1st,281000.0,Rohini Sector 10, Delhi, Delhi
227,Maruti Suzuki,Alto 800,LXI,2012,65010,Petrol,Manual,,240000.0,Balkampet, Hyderabad, Telangana
228,Ford,Figo,Titanium Diesel,2010,72000,Diesel,Manual,1st,245000.0,Banashankari, Bengaluru, Karnataka
229,Jaguar,XJ,L 3.0 Diesel,2013,42000,Diesel,Automatic,1st,2700000.0,Greater Kailash, Delhi, Delhi
230,Hyundai,Elite i20,Sportz 1.2 OPT,2020,7000,Petrol,Manual,1st,784000.0,Kodambakkam Zacharia Colony, Chennai, Tamil Nadu
231,,,,0,0,Unknown,Unknown,,,,,
232,BMW,X1,xDrive 20d xLine,2012,60000,Diesel,Automatic,2nd,775000.0,Versova, Mumbai, Maharashtra
233,Hyundai,Xcent,2017,0,0,Manual,Unknown,,365000.0,Thergaon, Pune, Maharashtra
234,Chevrolet,Cruze,2010-2011 LTZ,2010,103400,Diesel,Manual,2nd,435000.0,Swastik Vihar, Panchkula, Haryana
235,Mitsubishi,Pajero,Sport 4X4 AT,2015,57000,Diesel,Automatic,1st,1400000.0,Kodambakkam Taylor Estate, Chennai, Tamil Nadu
236,Toyota,Innova,2.5 V 8 STR,2011,167000,Diesel,Manual,3rd,700000.0,Karamana, Thiruvananthapuram, Kerala
237,Mahindra,Thar,2010-2015 4X4,2012,58000,Diesel,Manual,2nd,440000.0,Preet Vihar, Delhi, Delhi
238,Toyota,Fortuner,2015,0,0,Manual,Unknown,,1250000.0,Burari, Delhi, Delhi
239,Toyota,Fortuner,2.8 2WD MT,2018,78000,Diesel,Manual,1st,3100000.0,MG Road, Indore, Madhya Pradesh
240,Mahindra,NuvoSport,N8 AMT,2016,40582,Diesel,Automatic,1st,710000.0,Andheri West, Mumbai, Maharashtra
241,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2011,48000,Petrol,Manual,2nd,295000.0,Savoli Sector 1, Navi Mumbai, Maharashtra
242,Maruti Suzuki,800,AC BSIII,2008,0,Unknown,Unknown,,100000.0,Palarivattom, Kochi, Kerala
243,Tata,Nano,2012-2015 LX,2012,36000,Petrol,Manual,1st,115000.0,Khagithopha, Bengaluru, Karnataka
244,Hyundai,Elite i20,Magna 1.4 CRDI,2018,67588,Diesel,Manual,1st,840000.0,Gokulam, Mysuru, Karnataka
245,,,,0,0,Unknown,Unknown,,599.0,Samudrapur, Maharashtra, India
246,,,,0,0,Unknown,Unknown,,1000.0,Samudrapur, Maharashtra, India
247,Maruti Suzuki,Swift Dzire,Swift Dzire Tour,2015,110722,Diesel,Manual,1st,350000.0,Karmanghat, Hyderabad, Telangana
248,Maruti Suzuki,Swift Dzire,ZDI,2016,60000,Diesel,Automatic,1st,470000.0,Rohini Sector 3, Delhi, Delhi
249,Maruti Suzuki,Swift Dzire,LDI Optional,2015,93000,Diesel,Manual,1st,335000.0,Tolichowki, Hyderabad, Telangana
250,Maruti Suzuki,Alto K10,VXI,2014,50000,Petrol,Manual,1st,250000.0,Raja Park, Jaipur, Rajasthan
251,Maruti Suzuki,Swift Dzire,VDI,2014,70500,Diesel,Manual,1st,450000.0,Sarthana Jakatnaka, Surat, Gujarat
252,Hyundai,i20,2009-2011 Sportz Option,2011,56000,Petrol,Manual,1st,242000.0,Pitampura, Delhi, Delhi
253,Nissan,Sunny,XV,2013,55000,Petrol,Manual,1st,250000.0,New Friends Colony, Delhi, Delhi
254,Honda,City,i-VTEC SV,2017,28076,Petrol,Manual,1st,751800.0,Nerkundram Valavinayear Nagar, Chennai, Tamil Nadu
255,Tata,Tigor,1.05 Revotorq XE,2018,58000,Diesel,Manual,1st,499000.0,Vengoor, Angamaly, Kerala
256,Mahindra,Thar,CRDE 4X4 BS IV,2017,20000,Diesel,Manual,1st,1100000.0,Sadahalli, Bengaluru, Karnataka
257,Tata,Indigo,LS TDI BS-III,2007,0,Diesel,Unknown,,108000.0,Usuppur, Chidambaram, Tamil Nadu
258,Hyundai,Verna,CRDi 1.6 AT SX Option,2018,49000,Diesel,Automatic,2nd,1195000.0,Sant Nagar, Pune, Maharashtra
259,,,,0,0,Unknown,Unknown,,699.0,Samudrapur, Maharashtra, India
260,Mahindra,Bolero Power Plus,SLE,2017,48200,Diesel,Manual,1st,645000.0,Kathra, Nagram, Uttar Pradesh
261,Maruti Suzuki,Zen,LXI,2002,8000,Petrol,Manual,2nd,55000.0,Apana Nagar, Parbhani, Maharashtra
262,Renault,Duster,85PS Diesel RxL,2014,51000,Diesel,Manual,2nd,425000.0,Palaj, Gujarat, India
263,Datsun,GO,T,2016,40510,Petrol,Manual,1st,230000.0,Jodhpur Village, Ahmedabad, Gujarat
264,Hyundai,Elite i20,Asta 1.2 (O),2016,8000,Diesel,Manual,2nd,611000.0,Nana Varachha, Surat, Gujarat
265,,,,0,0,Unknown,Unknown,,,,,
266,Ford,Ecosport,1.5 Diesel Titanium,2017,45000,Diesel,Manual,1st,745000.0,Anamika Enclave, Gurgaon, Haryana
267,Toyota,Innova,2.5 G (Diesel) 8 Seater BS IV,2012,76000,Diesel,Manual,2nd,700000.0,Sector 2, Bhilai, Chhattisgarh
268,Audi,Q3,35 TDI Premium + Sunroof,2017,37000,Diesel,Automatic,1st,2245000.0,Beltola, Guwahati, Assam
269,Hyundai,Santa Fe,4WD AT,2014,88000,Diesel,Automatic,1st,1150000.0,Shiv Mandir Society, Surat, Gujarat
270,Land Rover,Range Rover,2014-2017 LWB 3.0 Vogue,2003,75000,Diesel,Automatic,2nd,1350000.0,Bandra West, Mumbai, Maharashtra
271,Maruti Suzuki,Ritz,VXi,2011,65000,Petrol,Manual,1st,230000.0,Ranjhi, Jabalpur, Madhya Pradesh
272,Mahindra,Others,2014,0,0,Manual,Unknown,,145000.0,Balkampet, Hyderabad, Telangana
273,Ford,Fusion,1.4 TDCi Diesel,2009,90000,Diesel,Manual,2nd,160000.0,Bhadur Hussain, Batala, Punjab
274,Renault,KWID,RXL,2016,70000,Petrol,Manual,1st,320000.0,Hope College, Coimbatore, Tamil Nadu
275,Maruti Suzuki,Zen Estilo,Zen Estilo LXI,2010,156000,CNG & Hybrids,Manual,1st,165000.0,Sector 2, Faridabad, Haryana
276,Maruti Suzuki,Vitara Brezza,VDi Option,2018,39400,Diesel,Manual,1st,750000.0,Preet Vihar, Delhi, Delhi
277,Mahindra,XUV500,W8 2WD,2012,80000,Diesel,Manual,2nd,675000.0,Kodambakkam Taylor Estate, Chennai, Tamil Nadu
278,Toyota,Etios,1.4 GD,2016,130000,Diesel,Manual,2nd,410000.0,Infantry Road, Bengaluru, Karnataka
279,Maruti Suzuki,Wagon R,1999-2006 LXI BSIII,2003,112000,Petrol,Manual,2nd,105000.0,Ommasseri, Kozhikode, Kerala
280,Volkswagen,Jetta,2.0 TDI Comfortline,2011,88000,Diesel,Manual,1st,490000.0,Saptrang Chowk, Nashik, Maharashtra
281,BMW,3 Series GT,3 Series GT 320d GT Luxury Line,2015,43000,Diesel,Automatic,2nd,2290000.0,Lajpat Nagar 1, Delhi, Delhi
282,Maruti Suzuki,Swift Dzire,AMT ZDI Plus,2019,38700,Diesel,Automatic,1st,925000.0,Nirman Nagar, Jaipur, Rajasthan
283,Maruti Suzuki,Baleno,1.3 Zeta,2019,10000,Diesel,Manual,1st,100000.0,Kuthuparamba, Koothuparamba, Kerala
284,Renault,Duster,RXS,2020,5339,Petrol,Manual,1st,1035000.0,Singasandra, Bengaluru, Karnataka
285,Hyundai,i20,1.4 Magna Executive,2009,56000,Petrol,Manual,1st,175000.0,Abids, Hyderabad, Telangana
286,Audi,A4,"2.0 TDI (177bhp), Premium",2012,82000,Diesel,Automatic,2nd,1421000.0,Swarup Nagar, Nagpur, Maharashtra
287,Hyundai,i10,Sportz,2011,39200,Petrol,Manual,1st,295000.0,Bandra West, Mumbai, Maharashtra
288,Datsun,RediGO,T Option,2017,84000,Petrol,Manual,2nd,285000.0,Benzco, Vijayawada, Andhra Pradesh
289,Maruti Suzuki,Swift Dzire,VDI,2014,80000,Diesel,Manual,,400000.0,Sector 14, Gurgaon, Haryana
290,BMW,3 Series,320d,2012,57000,Diesel,Automatic,1st,1374999.0,Shakarpur, Delhi, Delhi
291,Maruti Suzuki,A-Star,Lxi,2013,68000,Petrol,Manual,1st,265000.0,Sector 37, Gurgaon, Haryana
292,Volkswagen,Polo,GT TSI,2016,20418,Petrol,Automatic,1st,725000.0,Borivali West, Mumbai, Maharashtra
293,Hyundai,i10,Sportz 1.1 LPG,2012,50000,Petrol,Manual,1st,360000.0,Jubilee Hills, Hyderabad, Telangana
294,Honda,City,2014-2015 i VTEC V,2013,112000,Petrol,Manual,1st,600000.0,Kodambakkam Zacharia Colony, Chennai, Tamil Nadu
