,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
271,Maruti Suzuki,Ritz,VXi,2011,"65,000 km",Petrol,Manual,1st,"Ranjhi, Jabalpur, Madhya Pradesh","₹ 2,30,000"
272,Mahindra,Others,2014,Diesel,1st,Manual,"26,000 km",-,"Balkampet, Hyderabad, Telangana","₹ 1,45,000"
273,Ford,Fusion,1.4 TDCi Diesel,2009,"90,000 km",Diesel,Manual,2nd,"Bhadur Hussain, Batala, Punjab","₹ 1,60,000"
274,Renault,KWID,RXL,2016,"70,000 km",Petrol,Manual,1st,"Hope College, Coimbatore, Tamil Nadu","₹ 3,20,000"
275,Maruti Suzuki,Zen Estilo,Zen Estilo LXI,2010,"156,000 km",CNG & Hybrids,Manual,1st,"Sector 2, Faridabad, Haryana","₹ 1,65,000"
276,Maruti Suzuki,Vitara Brezza,VDi Option,2018,"39,400 km",Diesel,Manual,1st,"Preet Vihar, Delhi, Delhi","₹ 7,50,000"
277,Mahindra,XUV500,W8 2WD,2012,"80,000 km",Diesel,Manual,2nd,"Kodambakkam Taylor Estate, Chennai, Tamil Nadu","₹ 6,75,000"
278,Toyota,Etios,1.4 GD,2016,"130,000 km",Diesel,Manual,2nd,"Infantry Road, Bengaluru, Karnataka","₹ 4,10,000"
279,Maruti Suzuki,Wagon R,1999-2006 LXI BSIII,2003,"112,000 km",Petrol,Manual,2nd,"Ommasseri, Kozhikode, Kerala","₹ 1,05,000"
280,Volkswagen,Jetta,2.0 TDI Comfortline,2011,"88,000 km",Diesel,Manual,1st,"Saptrang Chowk, Nashik, Maharashtra","₹ 4,90,000"
281,BMW,3 Series GT,3 Series GT 320d GT Luxury Line,2015,"43,000 km",Diesel,Automatic,2nd,"Lajpat Nagar 1, Delhi, Delhi","₹ 22,90,000"
282,Maruti Suzuki,Swift Dzire,AMT ZDI Plus,2019,"38,700 km",Diesel,Automatic,1st,"Nirman Nagar, Jaipur, Rajasthan","₹ 9,25,000"
283,Maruti Suzuki,Baleno,1.3 Zeta,2019,"10,000 km",Diesel,Manual,1st,"Kuthuparamba, Koothuparamba, Kerala","₹ 1,00,000"
284,Renault,Duster,RXS,2020,"5,339 km",Petrol,Manual,1st,"Singasandra, Bengaluru, Karnataka","₹ 10,35,000"
285,Hyundai,i20,1.4 Magna Executive,2009,"56,000 km",Petrol,Manual,1st,"Abids, Hyderabad, Telangana","₹ 1,75,000"
286,Audi,A4,"2.0 TDI (177bhp), Premium",2012,"82,000 km",Diesel,Automatic,2nd,"Swarup Nagar, Nagpur, Maharashtra","₹ 14,21,000"
287,Hyundai,i10,Sportz,2011,"39,200 km",Petrol,Manual,1st,"Bandra West, Mumbai, Maharashtra","₹ 2,95,000"
288,Datsun,RediGO,T Option,2017,"84,000 km",Petrol,Manual,2nd,"Benzco, Vijayawada, Andhra Pradesh","₹ 2,85,000"
289,Maruti Suzuki,Swift Dzire,VDI,2014,"80,000 km",Diesel,Manual,-,"Sector 14, Gurgaon, Haryana","₹ 4,00,000"
290,BMW,3 Series,320d,2012,"57,000 km",Diesel,Automatic,1st,"Shakarpur, Delhi, Delhi","₹ 13,74,999"
291,Maruti Suzuki,A-Star,Lxi,2013,"68,000 km",Petrol,Manual,1st,"Sector 37, Gurgaon, Haryana","₹ 2,65,000"
292,Volkswagen,Polo,GT TSI,2016,"20,418 km",Petrol,Automatic,1st,"Borivali West, Mumbai, Maharashtra","₹ 7,25,000"
293,Hyundai,i10,Sportz 1.1 LPG,2012,"50,000 km",Petrol,Manual,1st,"Jubilee Hills, Hyderabad, Telangana","₹ 3,60,000"
294,Honda,City,2014-2015 i VTEC V,2013,"112,000 km",Petrol,Manual,1st,"Kodambakkam Zacharia Colony, Chennai, Tamil Nadu","₹ 6,00,000"
295,Maruti Suzuki,Swift,LDI Optional,2017,"80,000 km",Diesel,Manual,1st,"Dwarka Nagar, Visakhapatnam, Andhra Pradesh","₹ 5,49,999"
296,Maruti Suzuki,Omni,LPG BS-III,2007,"135,000 km",LPG,Automatic,3rd,"Pernambut, Gudiyatham, Tamil Nadu","₹ 1,35,000"
297,Honda,City,2008-2011 1.5 S MT,2009,"90,000 km",Petrol,Manual,1st,"Hope College, Coimbatore, Tamil Nadu","₹ 4,00,000"
298,Mercedes-Benz,S-Class,S 500,2013,"60,000 km",Petrol,Automatic,3rd,"Bandra West, Mumbai, Maharashtra","₹ 22,00,000"
299,Honda,City,2014-2015 i VTEC S,2014,"79,800 km",Petrol,Manual,1st,"Kinfra Industries Park, Koratty, Kerala","₹ 5,95,000"
300,Tata,Indica,DLE,2003,"98,000 km",Diesel,Manual,2nd,"Sector 63, Mohali, Punjab","₹ 60,000"
301,Hyundai,Grand i10,1.2 Kappa Sportz,2008,"79,000 km",CNG & Hybrids,Manual,1st,"Vadsar, Vadodara, Gujarat","₹ 1,71,000"
302,Hyundai,i10,1.2 Kappa Magna,2010,"60,350 km",CNG & Hybrids,Manual,2nd,"Sarthana Jakatnaka, Surat, Gujarat","₹ 2,45,000"
303,Hyundai,i20,Diesel Asta,2014,"70,000 km",Diesel,Manual,2nd,"Attapur, Hyderabad, Telangana","₹ 4,90,000"
304,Renault,Duster,110PS Diesel RxL,2014,"73,000 km",Diesel,Manual,2nd,"Nehru Nagar, Agra, Uttar Pradesh","₹ 4,10,000"
305,Ambassador,Ambassador,CLASSIC 1500 DSL AC,2002,"89,000 km",Diesel,Manual,1st,"Chathalloor, Perinthalmanna, Kerala","₹ 85,000"
306,Maruti Suzuki,Swift,Others,2013,"87,000 km",Diesel,Manual,1st,"Chandigarh Airport Area, Chandigarh, Chandigarh","₹ 3,65,000"
307,Maruti Suzuki,S Cross,Sigma DDiS 200 SH,2015,"81,611 km",Diesel,Manual,1st,"Chintala Kunta, Hyderabad, Telangana","₹ 6,00,000"
308,Hyundai,Fluidic Verna,1.4 CRDi,2017,"54,000 km",Diesel,Manual,1st,"Usmanpura, Ahmedabad, Gujarat","₹ 7,34,999"
309,Ford,Figo,1.2P Titanium MT,2016,"32,000 km",Petrol,Manual,1st,"KR Puram, Bengaluru, Karnataka","₹ 5,40,000"
310,Maruti Suzuki,Baleno,2016,Petrol,-,Manual,"38,391 km",-,"Jayanagar, Bengaluru, Karnataka","₹ 6,72,000"
311,Maruti Suzuki,Swift,2018 ZXI,2018,"84,000 km",Petrol,Manual,1st,"Basaveshvara Nagar, Bengaluru, Karnataka","₹ 7,25,000"
312,Ford,Ecosport,1.5 Diesel Titanium,2019,"58,000 km",Diesel,Manual,1st,"Varacha, Surat, Gujarat","₹ 9,11,000"
313,Ford,Figo,2010-2012 Diesel Titanium,2010,"105,000 km",Diesel,Manual,2nd,"Kizhakkambalam, Kunnathunad, Kerala","₹ 2,15,000"
314,Hyundai,Elantra,1.6 SX Option AT,2013,"98,000 km",Diesel,Automatic,1st,"Vijyant Khand, Lucknow, Uttar Pradesh","₹ 7,50,000"
315,Hyundai,i20,2010,Petrol,1st,Manual,"51,300 km",-,"Pitampura, Delhi, Delhi","₹ 2,21,000"
316,-,-,-,-,-,-,-,-,-,-
317,Maruti Suzuki,Swift,VDI,2010,"100,000 km",Diesel,Manual,2nd,"Basaveshvara Nagar, Bengaluru, Karnataka","₹ 3,45,000"
318,Mahindra,XUV500,W8 2WD,2013,"125,000 km",Diesel,Manual,2nd,"Chelamattom, Perumbavoor, Kerala","₹ 6,40,000"
319,Maruti Suzuki,Swift,VXI,2015,"82,809 km",Petrol,Manual,1st,"Venpalavattom, Thiruvananthapuram, Kerala","₹ 4,50,000"
320,Maruti Suzuki,Swift,VDI BS IV,2015,"71,000 km",Diesel,Manual,1st,"Viraj Society, Mumbai, Maharashtra","₹ 5,11,000"
321,Ford,Ecosport,1.5 Petrol Titanium Plus AT,2018,"12,000 km",Petrol,Automatic,1st,"Anna Nagar, Chennai, Tamil Nadu","₹ 10,50,000"
322,Skoda,Rapid,2011-2013 1.6 TDI Ambition Plus,2013,"133,000 km",Diesel,Manual,1st,"Ganeshnagar, Karimnagar, Telangana","₹ 4,30,000"
323,Hyundai,EON,Era +,2014,"14,000 km",Petrol,Manual,1st,"Amar Jyoti Layout, Bengaluru, Karnataka","₹ 3,00,000"
324,Maruti Suzuki,Wagon R,2010-2012 VXI BS IV,2011,"78,000 km",Petrol,Manual,1st,"Satpur Colony, Nashik, Maharashtra","₹ 2,75,000"
325,Hyundai,Xcent,1.2 VTVT S,2017,"55,000 km",Petrol,Manual,1st,"Jaman Nagar, Jaipur, Rajasthan","₹ 5,25,000"
326,Tata,Nexon,1.2 Revotron XT,2017,"33,000 km",Petrol,Manual,1st,"Thiruvannur, Kozhikode, Kerala","₹ 6,90,000"
